threshold accuracy nconfident
0.1	0.9553528564570332	2083
0.2	0.9553528564570332	2083
0.3	0.9553314121037464	2082
0.4	0.95625	2080
0.5	0.9593613933236574	2067
0.6	0.9680589680589681	2035
0.7	0.9724448897795591	1996
0.8	0.978005115089514	1955
0.9	0.9851773425092641	1889
0.95	0.988442487616951	1817
0.97	0.9920634920634921	1764
0.98	0.9936046511627907	1720
0.99	0.994475138121547	1629
0.995	0.9948018193632229	1539
0.997	0.9965940054495913	1468
0.999	0.9961479198767335	1298
0.9995	0.9974937343358395	1197
0.9999	0.9979188345473465	961
0.99995	0.9988331388564761	857
0.99999	1.0	662
